title,author,avg_rating,num_rating
The Hunchback of Notre-Dame,Victor Hugo,4.02,214862
Tao Te Ching,Lao Tzu,4.29,178827
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,647769
Go Ask Alice,Beatrice Sparks,3.74,289759
Mansfield Park,Jane Austen,3.86,374313
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.05,484234
Circe,Madeline Miller,4.22,1299926
The Martian Chronicles,Ray Bradbury,4.16,281493
The BFG,Roald Dahl,4.23,519378
A Separate Peace,John Knowles,3.6,230288
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.11,408704
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.15,352157
Steppenwolf,Hermann Hesse,4.13,209314
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.98,1143217
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,618205
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,209062
